#,video_id,upload_date,views,likes,comments,num_segments,zones,visual_types,transcript_preview
1,C7w1eMUvXLp,20240603,28718,1124,52,9,"body, cta, hook","outdoor, product-close-up, product-demo-use-case, text-overlay-only",Doing the dishes sucks That's why I created this It's a bowl that holds completely flat making storage insanely simple T
2,C70eOWHOWvS,20240605,16817,661,24,8,"body, cta, hook","outdoor, text-overlay-only",I spent a month working on that I spent a year working on this It's a fold that folds completely flat to save space in t
3,C8DYloWp_7r,20240610,25329,1443,53,7,"body, cta, hook","founder-talking-neutral, outdoor, product-in-hand, text-overlay-only",Suddenly I had over 100 000 in orders and no idea how I was gonna make the product Let me tell you a quick story Last ye
4,C8GBW0Wpqku,20240611,26157,852,46,2,"cta, hook",text-overlay-only,Thanks for watching
5,C8XbT8Ap8ty,20240618,31019,1022,37,3,"cta, hook",event,Oh
6,C8cZ9ICuaA_,20240620,26323,2180,55,7,"body, cta, hook","founder-talking-neutral, outdoor, text-overlay-only",Imagine losing everything That's how I felt when I got this email saying that I would lose over a hundred thousand dolla
7,C8fKRr9pRcU,20240621,11701,469,32,7,"body, cta, hook","screen-recording, workspace",Imagine all the people living for today
8,C8lDh7lJotB,20240624,16008,621,48,9,"body, cta, hook","outdoor, screen-recording, text-overlay-only, workspace",We open the hymnal to page 542 read the first stanza of the poem you find there To the virgins to make much of time Yes 
9,C8pmKyYJQk3,20240625,47297,1704,109,7,"body, cta, hook",founder-talking-neutral,I just graduated Now that that's done with I can go full time on my company Wave where I'm on a mission to revolutionize
10,C8xq5PjJzz0,20240628,29876,1349,61,10,"body, cta, hook","founder-talking-neutral, lifestyle, text-overlay-only",I've taken strictly cold showers for 1 520 days for three main reasons but the third one is by far the most important Th
11,C85nDKEJiK7,20240702,17189,637,51,4,"body, cta, hook",environment,So Sgt Pepper took you by surprise You better see right through that mother's eyes
12,C88FX6ZJejL,20240702,5398429,362454,7098,8,"body, cta, hook",product-demo-use-case,So I invented this bowl that stores completely flat to save space and everyone is commenting if it can hold cereal and m
13,C8-dWfxpOak,20240703,13028,692,34,6,"body, cta, hook",text-overlay-only,This starter flame represents the first product I publicly released it got some attention and sparked some interest The 
14,C9BJzScpPcf,20240704,9376,511,27,8,"body, cta, hook","founder-talking-neutral, outdoor, text-overlay-only",Ever feel like you're drowning in distractions and can't get anything done This simple hack is scientifically proven to 
15,C9KwMGDuZ19,20240708,37055,1496,117,6,"body, cta, hook","product-demo-feature, product-demo-use-case",Alright so I invented this bowl that folds completely flat to save space and unlike normal bowls that are super annoying
16,C9ONBIipMZj,20240710,13936,354,42,2,"body, hook","outdoor, text-overlay-only",Bye Bye Bye
17,C9dqJWMJusG,20240716,24715,1655,57,10,"body, cta, hook","event, founder-talking-neutral, screen-recording, text-overlay-only",Check this out With this space saving bowl I raised over 100 000 in less than 30 days while I was 17 And believe me this
18,C9fB5nROqRU,20240716,25314,861,55,8,"body, cta, hook","outdoor, product-in-hand, text-overlay-only, workspace",I was a clown in high school I was working on my dream And here I am now I'm hard at work on manufacturing my first prod
19,C9iZLenJPiE,20240717,19584,1301,173,7,"body, cta, hook","event, outdoor, product-close-up, product-demo-use-case",Can I just get a hot soup The adults hot soup All right Time to walk a mile and a half back Let me know what other quest
20,C9lBg3tJ1i5,20240718,24445,1041,144,8,"body, cta, hook","lifestyle, product-demo-feature, product-demo-use-case",I accidentally used normal Cheerios to demonstrate this space thieving bowl of mine And I've been getting a ton of hate 
21,C9yUhNFJJJK,20240724,13056,723,92,6,"body, cta, hook","founder-talking-neutral, outdoor, text-overlay-only",To everyone who tried taking down my account ripping off my products and destroying my brand I have one thing to say to 
22,C-a60evpuLH,20240808,2670,178,33,8,"body, cta, hook","b-roll-cutaway, text-overlay-only, workspace",You can only run your fastest when you're being chased What helps me get motivated is thinking about the ambitious goals
23,C-d7qToJO1T,20240809,6908,547,88,9,"body, cta, hook","founder-talking-neutral, outdoor, text-overlay-only",I invented the space saving bowl and it raised six figures in less than four weeks but more importantly it marked the be
24,C-veQ69JCBF,20240816,5040,313,24,10,"body, cta, hook",outdoor,Before I launched my product I needed capital Here's three things I did to make some money but also gain a business expe
25,C-1Ay8QpmbF,20240818,2445,202,23,5,"body, cta, hook","outdoor, text-overlay-only",For me the hardest part about entrepreneurship is not knowing if the current thing I'm working on is on the path of succ
26,C-8x48op-y8,20240821,14305,1545,406,8,"body, cta, hook","founder-talking-excited, founder-talking-neutral, founder-thinking, product-close-up, product-demo-feature, product-demo-use-case",A few years ago I noticed that plates are a lot easier to wash and store than bowls And since then I've been working my 
27,C_BejCxpV04,20240823,7075,408,80,6,"body, cta, hook","founder-talking-neutral, lifestyle",Bro has unlimited bowls to break That's really not true I'm actually running out of bowls and I can't afford to keep the
